,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,02-05-2019,25-07-2019,Final,75.00,Rs.1.5000 per share(75%)Final Dividend
1,14-05-2018,19-07-2018,Final,50.00,Rs.1.0000 per share(50%)Dividend
2,29-06-2017,26-07-2017,Final,35.00,Rs.0.7000 per share(35%) Dividend.
3,31-05-2016,27-07-2016,Final,25.00,Rs.0.5000 per share(25%)Dividend
4,25-05-2015,30-07-2015,Final,40.00,Rs.0.8000 per share(40%)Dividend
5,27-05-2014,25-07-2014,Final,40.00,Rs.0.8000 per share(40%)Dividend
6,28-05-2013,26-07-2013,Final,50.00,Rs.1.0000 per share(50%)Dividend
7,28-05-2012,27-07-2012,Final,50.00,-
8,24-05-2011,25-07-2011,Final,35.00,Rs.3.50 per share(35%)Dividend
9,25-05-2010,30-07-2010,Final,25.00,-
10,01-07-2009,14-08-2009,Final,10.00,-
11,01-07-2008,08-08-2008,Final,35.00,AGM (Revised)
12,25-05-2007,03-07-2007,Final,50.00,AGM
13,30-05-2006,04-07-2006,Final,50.00,AGM
14,09-06-2005,06-07-2005,Final,40.00,AGM
15,12-05-2004,29-06-2004,Final,40.00,AGM
16,04-06-2003,07-07-2003,Final,30.00,AGM
17,28-05-2001,18-06-2001,Final,20.00,AGM
