,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,06-05-2019,16-08-2019,Final,380.00,Rs.7.6000 per share(380%)Dividend
1,23-04-2018,09-08-2018,Final,340.00,Rs.6.8000 per share(340%)Dividend
2,25-04-2017,08-08-2017,Final,310.00,Rs.6.2000 per share(310%)Dividend
3,18-04-2016,09-08-2016,Final,275.00,Rs.5.5000 per share(275%)Dividend
4,20-04-2015,07-08-2015,Final,250.00,Rs.5.0000 per share(250%)Dividend
5,21-04-2014,07-08-2014,Final,225.00,Rs.4.5000 per share(225%)Dividend
6,24-04-2013,09-07-2013,Final,190.00,Rs.3.8000 per share(190%)Dividend
7,25-04-2012,06-07-2012,Final,180.00,-
8,28-04-2011,04-07-2011,Final,175.00,-
9,28-04-2010,29-06-2010,Final,150.00,-
10,23-04-2009,29-06-2009,Final,130.00,-
11,25-04-2008,13-06-2008,Final,100.00,-
12,14-05-2007,28-06-2007,Final,30.00,AGM
13,13-03-2007,26-03-2007,Interim,50.00,-
14,07-06-2006,19-07-2006,Final,60.00,AGM
15,27-06-2005,26-07-2005,Final,50.00,AGM
16,22-06-2004,27-07-2004,Final,50.00,AGM
17,03-06-2003,08-07-2003,Final,55.00,AGM (Revised)
18,25-05-2002,02-07-2002,Final,50.00,AGM (Revised)
19,31-05-2001,20-06-2001,Final,40.00,AGM
