,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,10-02-2020,18-02-2020,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
1,08-11-2019,21-11-2019,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
2,02-05-2019,01-08-2019,Final,540.00,Rs.54.0000 per share(540%)Final Dividend
3,07-02-2019,15-02-2019,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
4,09-11-2018,19-11-2018,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
5,03-05-2018,01-08-2018,Final,540.00,Rs.54.0000 per share(540%)Final Dividend
6,01-02-2018,09-02-2018,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
7,10-11-2017,21-11-2017,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
8,05-05-2017,27-07-2017,Final,540.00,Rs.54.0000 per share(540%)Final Dividend.
9,03-02-2017,14-02-2017,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend.
10,27-10-2016,08-11-2016,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
11,03-05-2016,03-08-2016,Final,940.00,Rs.94.0000 per share(940%)Final Dividend
12,29-10-2015,10-11-2015,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
13,27-07-2015,06-08-2015,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
14,26-11-2014,04-02-2015,Final,440.00,Rs.44.0000 per share(440%)Final Dividend
15,30-10-2014,13-11-2014,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
16,23-07-2014,06-08-2014,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
17,28-11-2013,30-01-2014,Final,240.00,Rs.24.0000 per share(240%)Final Dividend
18,24-10-2013,05-11-2013,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
19,25-07-2013,06-08-2013,Interim,30.00,Rs.3.0000 per share(30%)Interim Dividend
20,29-11-2012,30-01-2013,Final,190.00,Rs.19.0000 per share(190%)Final Dividend
21,25-10-2012,07-11-2012,Interim,30.00,Rs.3.0000 per share(30%)Second Interim Dividend
22,25-07-2012,06-08-2012,Interim,30.00,Rs.3.00 per share(30%)Interim Dividend
23,29-11-2011,30-01-2012,Final,190.00,-
24,20-10-2011,02-11-2011,Interim,30.00,Second Interim Dividend
25,28-07-2011,09-08-2011,Interim,30.00,-
26,25-11-2010,28-01-2011,Final,440.00,Rs.19.00 per share(190%)Final Dividend & Rs.25.00 per share(250%)Special Dividend
27,21-10-2010,02-11-2010,Interim,30.00,Second Interim Dividend
28,28-07-2010,06-08-2010,Interim,30.00,-
29,21-12-2009,25-02-2010,Final,190.00,-
30,27-10-2009,05-11-2009,Interim,30.00,Second Interim Dividend
31,27-07-2009,06-08-2009,Interim,30.00,-
32,19-12-2008,06-03-2009,Final,140.00,AGM
33,21-10-2008,06-11-2008,Interim,30.00,Second Interim Dividend
34,25-07-2008,08-08-2008,Interim,30.00,-
35,14-12-2007,05-03-2008,Final,140.00,-
36,25-10-2007,07-11-2007,Interim,30.00,Second Interim Dividend
37,26-07-2007,10-08-2007,Interim,30.00,-
38,20-12-2006,09-03-2007,Final,140.00,-
39,30-10-2006,14-11-2006,Interim,30.00,Second Interim Dividend
40,11-07-2006,03-08-2006,Interim,30.00,-
41,20-12-2005,10-03-2006,Final,140.00,AGM
42,18-10-2005,31-10-2005,Interim,30.00,Second Interim Dividend
43,14-07-2005,01-08-2005,Interim,30.00,-
44,23-12-2004,03-03-2005,Final,140.00,AGM
45,14-09-2004,01-11-2004,Interim,30.00,Second Interim Dividend
46,07-07-2004,04-08-2004,Interim,30.00,-
47,19-12-2003,26-02-2004,Final,140.00,AGM
48,02-07-2003,06-08-2003,Interim,30.00,Second Interim Dividend
49,01-04-2003,05-05-2003,Interim,30.00,-
50,20-12-2002,04-03-2003,Final,140.00,-
51,25-09-2002,13-11-2002,Interim,30.00,Second Interim Dividend
52,29-06-2002,09-08-2002,Interim,30.00,-
53,29-07-2002,09-08-2002,Interim,30.00,-
54,21-12-2001,15-02-2002,Final,90.00,AGM
55,11-09-2001,17-10-2001,Interim,30.00,Second Interim Dividend
56,27-06-2001,02-08-2001,Interim,30.00,-
57,22-12-2000,13-02-2001,Final,90.00,-
58,17-09-2000,16-11-2000,Interim,30.00,-
59,11-06-2000,02-08-2000,Interim,30.00,-
