,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,28-02-2020,12-03-2020,Interim,150.00,Rs.1.5000 per share(150%)Interim Dividend
1,27-05-2019,08-08-2019,Final,150.00,Rs.1.5000 per share(150%)Final Dividend
2,23-05-2018,08-08-2018,Final,225.00,Rs.2.2500 per share(225%)Dividend
3,19-05-2017,14-08-2017,Final,200.00,Rs.2.0000 per share(200%)Dividend
4,11-03-2016,22-03-2016,Interim,250.00,Rs.2.5000 per share(250%)Interim Dividend
5,12-05-2015,23-07-2015,Final,300.00,Rs.3.0000 per share(300%)Dividend
6,22-05-2014,19-08-2014,Final,250.00,Rs.2.5000 per share(250%)Dividend
7,17-05-2013,21-08-2013,Final,200.00,Rs.2.0000 per share(200%)Dividend
8,28-05-2012,31-08-2012,Final,225.00,Rs.2.25 per share(225%)Dividend (Revised)
9,25-05-2011,25-08-2011,Final,275.00,-
10,18-05-2010,18-08-2010,Final,175.00,-
11,30-06-2009,16-09-2009,Final,135.00,-
12,02-06-2008,01-08-2008,Final,135.00,AGM
13,28-05-2007,23-07-2007,Final,150.00,AGM
14,30-05-2006,28-07-2006,Final,115.00,AGM
15,27-05-2005,11-08-2005,Final,100.00,Dividend @ 100% (Re. 1/- per share).
16,29-05-2004,09-09-2004,Final,100.00,(Rs.1/- per share) & AGM
17,29-05-2003,09-09-2003,Final,75.00,AGM
18,13-06-2002,28-08-2002,Final,50.00,AGM
19,20-06-2001,07-08-2001,Final,40.00,AGM
