,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,23-10-2019,05-11-2019,Interim,200.00,Rs.4.0000 per share(200%)Interim Dividend
1,06-05-2019,07-06-2019,Final,200.00,Rs.4.0000 per share(200%)Final Dividend
2,30-10-2018,14-11-2018,Interim,190.00,Rs.3.8000 per share(190%)Interim Dividend
3,08-05-2018,13-07-2018,Final,180.00,Rs.3.6000 per share(180%)Final Dividend
4,09-05-2018,13-07-2018,Special,150.00,Rs.3.0000 per share(150%)Special Dividend
5,27-10-2017,08-11-2017,Interim,170.00,Rs.3.4000 per share(170%)Interim Dividend
6,02-05-2017,16-06-2017,Final,130.00,Rs.13.0000 per share(130%)Final Dividend.
7,21-10-2016,04-11-2016,Special,75.00,Rs.7.5000 per share(75%)Special Dividend
8,24-10-2016,04-11-2016,Interim,110.00,Rs.11.0000 per share(110%)Interim Dividend
9,02-05-2016,15-07-2016,Final,110.00,Rs.11.0000 per share(110%)Final Dividend
10,27-10-2015,06-11-2015,Interim,100.00,Rs.10.0000 per share(100%)Interim Dividend
11,28-04-2015,19-06-2015,Final,85.00,Rs.8.5000 per share(85%)Final Dividend
12,20-10-2014,05-11-2014,Interim,75.00,Rs.7.5000 per share(75%)Interim Dividend
13,28-04-2014,12-06-2014,Final,85.00,Rs.8.5000 per share(85%)Final Dividend
14,23-10-2013,07-11-2013,Interim,75.00,Rs.7.5000 per share(75%)Interim Dividend
15,30-04-2013,13-06-2013,Final,75.00,Rs.7.5000 per share(75%)Final Dividend
16,15-10-2012,29-10-2012,Interim,75.00,Rs.7.5000 per share(75%)Interim Dividend
17,30-04-2012,07-06-2012,Final,665.00,"Final Dividend of Rs. 6.50/- per Share on 97,61,097 Equity Shares of nominal value of Rs. 10/- each and a Special Dividend of Rs. 60/- per Share aggregating to Rs. 5,856.66 lac."
18,19-10-2011,02-11-2011,Interim,85.00,-
19,29-04-2011,14-06-2011,Final,85.00,-
20,20-10-2010,11-11-2010,Interim,65.00,-
21,29-04-2010,11-06-2010,Final,75.00,-
22,27-10-2009,12-11-2009,Interim,65.00,-
23,04-05-2009,04-06-2009,Final,50.00,-
24,22-10-2008,06-11-2008,Interim,50.00,-
25,05-05-2008,12-06-2008,Final,40.00,AGM
26,04-05-2007,14-06-2007,Final,40.00,AGM
27,24-05-2006,26-05-2006,Final,30.00,-
28,30-05-2005,24-06-2005,Final,20.00,AGM
29,07-05-2004,28-06-2004,Final,20.00,Right Issue of Equity Shares
