,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,19-05-2017,26-05-2017,Final,260.00,Rs.2.6000 per share(260%)Dividend
1,16-05-2016,03-06-2016,Final,260.00,Rs.2.6000 per share(260%)Dividend
2,22-05-2015,28-05-2015,Final,350.00,Rs.3.5000 per share(350%)Dividend
3,14-05-2014,29-05-2014,Final,150.00,Rs.15.0000 per share(150%)Dividend
4,04-03-2014,11-03-2014,Interim,150.00,Rs.15.0000 per share(150%)Interim Dividend
5,14-05-2013,28-05-2013,Final,415.00,Rs.41.5000 per share(415%)Dividend
6,12-05-2012,24-05-2012,Final,350.00,-
7,11-05-2011,20-05-2011,Final,300.00,-
8,11-05-2010,09-06-2010,Final,200.00,-
9,25-01-2010,05-02-2010,Interim,100.00,-
10,11-05-2009,10-06-2009,Final,290.00,-
11,02-05-2008,29-05-2008,Final,215.00,-
12,09-05-2007,13-06-2007,Final,140.00,-
13,10-05-2006,19-06-2006,Final,140.00,-
14,20-05-2005,17-06-2005,Final,125.00,-
15,11-05-2004,25-06-2004,Final,110.00,-
16,05-06-2003,04-07-2003,Final,85.00,-
17,24-05-2002,11-07-2002,Final,60.00,-
18,30-05-2001,02-07-2001,Final,50.00,-
