,Announcement_Date,Effective_Date,Dividend_Type,Dividend,Remarks
0,26-04-2019,03-06-2019,Final,100.00,Rs.2.0000 per share(100%)Final Dividend
1,26-04-2018,04-06-2018,Final,135.00,Rs.2.7000 per share(135%)Dividend
2,24-04-2017,29-05-2017,Final,120.00,Rs.12.0000 per share(120%)Dividend
3,27-04-2016,30-05-2016,Final,100.00,Rs.10.0000 per share(100%)Final Dividend
4,22-04-2015,21-05-2015,Final,90.00,Rs.9.0000 per share(90%)Final Dividend
5,23-04-2014,29-05-2014,Final,80.00,Rs.8.0000 per share(80%)Final Dividend
6,17-04-2013,23-05-2013,Final,60.00,Rs.6.0000 per share(60%)Final Dividend
7,25-04-2012,05-07-2012,Final,40.00,-
8,20-04-2011,17-06-2011,Final,25.00,-
9,27-04-2010,24-06-2010,Final,15.00,-
