,Company,Dividends_Type,Dividends_%,Announcement,Record,Ex_Dividend
0,Shree Cements,Interim,0.00,13-01-2020,25-02-2020,24-02-2020
1,Tide Water Oil,Interim,0.00,20-01-2020,25-02-2020,24-02-2020
2,Dhampur Sugar,Interim,0.00,20-01-2020,13-02-2020,12-02-2020
3,TVS Motor,Interim,0.00,17-01-2020,12-02-2020,11-02-2020
4,Marico,Interim,0.00,06-01-2020,07-02-2020,06-02-2020
5,Persistent,Interim,0.00,19-12-2019,07-02-2020,06-02-2020
6,Alkali Metals,Interim,0.00,22-01-2020,06-02-2020,05-02-2020
7,Godrej Consumer,Interim,0.00,06-01-2020,06-02-2020,05-02-2020
8,Accelya Kale,Interim,0.00,21-01-2020,06-02-2020,05-02-2020
9,Transport Corp,Interim,0.00,20-01-2020,06-02-2020,05-02-2020
10,Siemens,Final,350.00,19-11-2019,-,03-02-2020
11,TCI Express,Interim,0.00,15-01-2020,04-02-2020,03-02-2020
12,Torrent Pharma,Interim,0.00,15-01-2020,04-02-2020,03-02-2020
13,Motilal Oswal,Interim,400.00,22-01-2020,03-02-2020,31-01-2020
14,Sharda Crop,Interim,20.00,22-01-2020,03-02-2020,31-01-2020
15,Granules India,Interim,25.00,21-01-2020,31-01-2020,30-01-2020
16,GMM Pfaudler,Interim,0.00,09-01-2020,31-01-2020,30-01-2020
17,United Drilling,Interim,0.00,13-01-2020,01-02-2020,30-01-2020
18,IWML,Interim,0.00,16-01-2020,30-01-2020,29-01-2020
19,HCL Tech,Interim,100.00,20-12-2019,27-01-2020,24-01-2020
20,Wipro,Interim,50.00,14-01-2020,27-01-2020,24-01-2020
21,TCS,Interim,500.00,10-01-2020,25-01-2020,23-01-2020
22,Delta Corp,Interim,75.00,13-01-2020,23-01-2020,22-01-2020
23,RITES,Interim,60.00,27-12-2019,10-01-2020,09-01-2020
