Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-03-21,600.0,648.9,558.3,647.8,641.6,85728445.0,520525.86
2017-03-22,641.55,657.45,625.1,636.95,638.55,15817671.0,101871.3
2017-03-23,637.9,648.0,628.15,635.0,634.85,4690121.0,29981.02
2017-03-24,635.45,640.45,612.6,615.25,616.9,4865013.0,30217.74
2017-03-27,615.0,623.0,602.35,617.05,614.4,3535098.0,21673.47
2017-03-28,617.2,633.4,615.1,626.0,628.8,2981122.0,18684.63
2017-03-29,632.9,637.0,622.4,624.0,628.25,2407007.0,15206.03
2017-03-30,624.2,635.0,622.2,634.95,631.85,1324054.0,8340.1
2017-03-31,634.4,652.3,630.0,637.3,637.85,2075789.0,13284.5
2017-04-03,638.0,643.0,633.0,635.0,634.25,992545.0,6321.57
2017-04-05,636.0,645.1,628.3,633.0,632.15,820437.0,5213.47
2017-04-06,632.0,668.4,630.2,663.9,664.4,5166823.0,33814.65
2017-04-07,665.9,761.35,664.0,758.9,751.2,16504569.0,119282.3
2017-04-10,769.0,806.9,759.05,777.7,774.1,14333464.0,113101.52
2017-04-11,778.9,791.1,768.35,778.0,778.55,4283589.0,33417.27
2017-04-12,779.0,782.9,755.0,758.0,762.2,2435513.0,18662.78
2017-04-13,756.9,806.9,756.0,780.5,783.25,6262741.0,49382.95
2017-04-17,785.9,789.7,766.6,773.75,774.05,2786771.0,21579.81
2017-04-18,774.9,774.9,725.1,732.0,730.15,4750180.0,35162.63
2017-04-19,735.0,752.0,722.0,736.0,732.8,2052184.0,15118.01
2017-04-20,740.0,765.0,732.4,753.45,756.3,3218061.0,24194.35
2017-04-21,760.0,765.0,739.0,742.5,743.2,1237439.0,9294.14
2017-04-24,748.0,748.0,724.15,725.2,726.3,1249610.0,9162.24
2017-04-25,731.0,739.9,721.15,735.0,734.8,1519949.0,11137.63
2017-04-26,736.45,753.95,731.0,746.0,747.9,2080565.0,15547.58
2017-04-27,749.0,749.7,736.1,739.25,740.1,614735.0,4554.68
2017-04-28,743.85,747.0,735.0,736.15,736.5,516172.0,3815.39
2017-05-02,737.25,762.9,737.25,749.65,752.3,1808851.0,13574.34
