Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,42.25,42.25,41.1,,,,
1998-03-24,42.5,43.4,40.0,40.0,40.05,1500.0,0.62
1998-03-25,43.5,44.0,41.0,43.75,42.2,1500.0,0.64
1998-03-26,41.0,45.0,38.25,43.0,43.0,4400.0,1.87
1998-03-27,40.0,40.0,40.0,40.0,40.0,100.0,0.04
1998-03-30,43.0,43.0,38.0,38.0,38.0,1800.0,0.71
1998-03-31,40.9,40.9,38.0,38.0,38.05,400.0,0.16
1998-04-01,39.55,40.9,39.0,39.0,39.0,1400.0,0.55
1998-04-02,39.5,39.5,38.1,38.1,38.1,200.0,0.08
1998-04-03,40.25,40.25,39.0,39.0,39.0,200.0,0.08
1998-04-06,38.1,38.25,38.1,38.25,38.25,900.0,0.34
1998-04-07,38.0,38.0,37.25,37.25,37.3,2300.0,0.87
1998-04-09,41.0,41.05,41.0,41.05,41.05,300.0,0.12
1998-04-10,42.0,43.95,38.0,42.9,42.9,2800.0,1.15
1998-04-13,42.0,43.5,42.0,42.5,43.35,2800.0,1.2
1998-04-15,46.85,47.7,46.0,47.7,47.7,4800.0,2.27
1998-04-16,49.0,49.0,45.0,45.0,45.5,5100.0,2.41
1998-04-17,46.5,47.0,43.5,44.0,44.0,500.0,0.23
1998-04-20,44.0,44.5,43.25,44.5,44.5,1500.0,0.66
1998-04-21,43.3,44.3,43.25,44.0,43.65,1100.0,0.48
1998-04-22,45.0,46.0,45.0,45.05,45.05,1300.0,0.59
1998-04-23,42.0,42.0,42.0,42.0,42.0,200.0,0.08
1998-04-24,42.9,43.0,42.0,42.0,42.0,300.0,0.13
1998-04-27,40.0,40.0,38.75,38.75,38.75,400.0,0.16
1998-04-28,37.55,41.5,37.1,41.5,39.8,1600.0,0.61
1998-04-29,41.5,41.5,41.5,41.5,41.5,100.0,0.04
1998-04-30,40.05,40.05,40.05,40.05,40.05,100.0,0.04
1998-05-04,38.5,38.5,38.5,38.5,38.5,100.0,0.04
1998-05-05,39.0,41.0,38.95,41.0,41.0,500.0,0.2
1998-05-06,39.5,39.5,38.0,38.0,38.0,400.0,0.15
1998-05-11,37.0,39.0,35.1,39.0,39.0,1400.0,0.52
1998-05-12,37.0,37.0,37.0,37.0,37.0,100.0,0.04
1998-05-13,35.55,35.55,35.5,35.5,35.5,200.0,0.07
1998-05-14,35.6,37.25,35.0,37.25,37.25,500.0,0.18
1998-05-15,37.5,38.0,37.25,38.0,38.0,600.0,0.22
1998-05-19,37.9,41.0,37.9,41.0,39.9,500.0,0.2
1998-05-20,41.0,41.0,41.0,41.0,41.0,100.0,0.04
1998-05-21,41.8,41.95,37.5,37.5,37.5,400.0,0.16
1998-05-25,36.3,37.0,36.0,37.0,37.0,1600.0,0.58
1998-05-26,35.2,36.0,35.0,36.0,35.85,2000.0,0.7
