Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,1840.0,1940.0,1840.0,,,,
1998-03-24,1950.0,2025.0,1950.0,2000.0,2000.0,650.0,12.85
1998-03-25,2100.0,2100.0,2100.0,2100.0,2100.0,50.0,1.05
1998-03-26,2125.0,2150.0,2055.0,2055.0,2055.0,250.0,5.28
1998-03-27,2020.0,2040.0,2020.0,2040.0,2040.0,150.0,3.05
1998-03-30,2025.0,2025.0,2010.0,2010.0,2010.0,200.0,4.04
1998-03-31,1950.0,1950.0,1931.05,1931.05,1933.0,200.0,3.88
1998-04-01,1975.0,2000.0,1975.0,2000.0,2000.0,350.0,6.99
1998-04-02,1988.0,2000.0,1988.0,2000.0,2000.0,300.0,5.99
1998-04-03,1975.0,1975.0,1975.0,1975.0,1975.0,50.0,0.99
1998-04-06,2000.0,2165.0,2000.0,2165.0,2165.0,750.0,15.5
1998-04-07,2207.5,2216.0,2207.5,2211.1,2211.1,300.0,6.64
1998-04-09,2432.25,2432.25,2432.25,2432.25,2432.25,400.0,9.73
1998-04-10,2650.0,2670.0,2350.0,2350.0,2443.5,1200.0,30.16
1998-04-13,2459.5,2467.0,2202.0,2202.0,2282.55,3350.0,80.03
1998-04-15,2500.0,2500.0,2380.0,2499.5,2499.5,950.0,23.5
1998-04-16,2490.0,2500.0,2490.0,2500.0,2500.0,300.0,7.49
1998-04-17,2488.0,2488.0,2486.0,2486.0,2486.0,350.0,8.7
1998-04-20,2440.0,2484.95,2301.0,2301.0,2365.2,1100.0,26.66
1998-04-21,2400.0,2444.95,2330.0,2405.0,2391.65,3000.0,72.43
1998-04-22,2500.0,2539.0,2350.0,2350.0,2353.5,1800.0,43.57
1998-04-24,2270.0,2270.0,2200.0,2250.0,2250.0,450.0,10.03
1998-04-27,2350.0,2350.0,2260.0,2300.0,2297.5,600.0,13.75
1998-04-28,2250.0,2250.5,2132.0,2132.0,2144.35,550.0,12.04
1998-05-06,2650.0,2742.0,2627.15,2627.15,2634.85,1450.0,38.97
1998-05-08,2625.0,2625.0,2590.0,2607.0,2607.0,600.0,15.69
1998-05-12,2406.1,2475.0,2406.0,2475.0,2475.0,350.0,8.56
1998-05-13,2425.05,2425.05,2400.0,2400.0,2406.55,500.0,12.05
1998-05-14,2375.0,2416.0,2350.0,2416.0,2416.0,500.0,11.95
1998-05-15,2444.0,2490.0,2422.0,2474.0,2474.0,500.0,12.32
1998-05-19,2463.0,2535.0,2463.0,2535.0,2535.0,400.0,9.99
1998-05-20,2520.0,2520.0,2520.0,2520.0,2520.0,50.0,1.26
1998-05-25,2450.0,2460.0,2450.0,2460.0,2456.65,300.0,7.36
1998-05-26,2421.0,2421.0,2355.0,2355.0,2355.0,100.0,2.39
1998-05-27,2500.0,2500.0,2400.0,2400.0,2400.0,5150.0,128.6
1998-05-28,2399.0,2400.0,2300.0,2300.0,2300.0,450.0,10.58
1998-05-29,2300.0,2398.0,2290.0,2398.0,2315.6,250.0,5.79
1998-06-02,2105.0,2110.0,2105.0,2110.0,2110.0,100.0,2.11
1998-06-03,2200.0,2200.0,2106.0,2106.0,2106.0,150.0,3.21
1998-06-04,2200.0,2200.0,2150.0,2150.0,2150.0,150.0,3.25
1998-06-05,2100.0,2100.0,2014.0,2014.0,2014.0,200.0,4.07
1998-06-08,1935.0,1935.0,1935.0,1935.0,1935.0,50.0,0.97
1998-06-09,1940.0,1979.0,1910.0,1979.0,1952.25,500.0,9.7
1998-06-12,2000.0,2018.0,1978.0,2018.0,2018.0,350.0,6.99
1998-06-15,1885.0,1900.0,1885.0,1900.0,1900.0,150.0,2.84
1998-06-16,1900.0,1900.0,1712.0,1885.0,1885.0,150.0,2.75
1998-06-17,1980.0,1980.0,1895.0,1895.0,1895.0,200.0,3.88
1998-06-18,1900.0,1900.0,1900.0,1900.0,1900.0,50.0,0.95
1998-06-19,1950.0,1950.0,1800.05,1800.05,1830.0,150.0,2.81
1998-06-23,1801.0,1801.0,1750.0,1750.0,1750.0,150.0,2.67
1998-06-24,1869.0,1874.0,1869.0,1874.0,1874.0,150.0,2.81
1998-06-25,1925.0,1925.0,1900.0,1925.0,1925.0,150.0,2.88
1998-06-26,1925.0,1925.0,1905.0,1925.0,1925.0,200.0,3.84
1998-06-30,1921.0,1945.0,1900.0,1900.0,1900.0,400.0,7.68
1998-07-01,1900.0,1900.0,1900.0,1900.0,1900.0,50.0,0.95
1998-07-03,1840.0,1840.0,1800.0,1800.0,1800.0,100.0,1.82
1998-07-06,1870.0,1870.0,1870.0,1870.0,1870.0,100.0,1.87
1998-07-07,1910.0,1950.0,1910.0,1950.0,1950.0,150.0,2.9
1998-07-08,2050.0,2105.0,2050.0,2105.0,2105.0,400.0,8.34
1998-07-09,2050.05,2050.05,2035.0,2050.0,2043.0,350.0,7.15
1998-07-10,2010.0,2010.0,2010.0,2010.0,2010.0,50.0,1.0
1998-07-13,2000.0,2000.0,1960.0,1960.0,1960.0,600.0,11.95
1998-07-14,1930.0,1989.0,1930.0,1989.0,1959.5,100.0,1.96
1998-07-15,1945.05,1945.05,1935.0,1935.0,1935.0,150.0,2.91
1998-07-16,1999.0,2000.0,1999.0,2000.0,2000.0,100.0,2.0
1998-07-17,2000.0,2025.0,1954.0,1954.0,1954.0,250.0,5.0
1998-07-20,1950.0,1950.0,1916.5,1916.5,1916.5,300.0,5.83
1998-07-21,1975.0,1975.0,1909.0,1909.0,1909.65,300.0,5.78
1998-07-22,2025.0,2025.0,1975.0,1995.0,1994.0,650.0,13.0
1998-07-23,1955.0,1955.0,1907.0,1907.0,1907.0,400.0,7.72
1998-07-24,1925.0,1935.0,1925.0,1935.0,1935.0,100.0,1.93
1998-07-27,1940.0,1940.0,1940.0,1940.0,1940.0,50.0,0.97
1998-07-28,1962.0,1962.0,1962.0,1962.0,1962.0,100.0,1.96
1998-07-29,1985.0,1989.0,1939.0,1950.0,1949.5,250.0,4.91
1998-07-30,1950.0,1950.0,1925.0,1926.0,1948.1,900.0,17.5
1998-07-31,1890.0,1904.5,1890.0,1903.25,1903.25,350.0,6.66
1998-08-04,1900.0,1900.0,1891.0,1896.5,1896.5,200.0,3.79
1998-08-06,1872.0,1880.0,1872.0,1880.0,1880.0,100.0,1.88
1998-08-10,1845.0,1850.0,1845.0,1850.0,1850.0,150.0,2.77
1998-08-11,1825.0,1825.0,1825.0,1825.0,1825.0,100.0,1.82
1998-08-12,1767.0,1775.0,1767.0,1767.0,1768.5,400.0,7.07
1998-08-13,1750.0,1800.0,1710.0,1800.0,1800.0,300.0,5.26
1998-08-17,1750.0,1775.0,1725.5,1730.0,1730.0,300.0,5.23
1998-08-18,1690.0,1690.0,1600.0,1600.0,1609.0,700.0,11.42
1998-08-19,1730.0,1730.0,1670.0,1670.0,1670.0,250.0,4.24
1998-08-20,1680.0,1710.0,1656.0,1659.0,1659.0,2250.0,37.89
1998-08-21,1675.0,1719.0,1661.0,1661.0,1689.5,2100.0,35.47
1998-08-24,1660.0,1660.0,1660.0,1660.0,1660.0,50.0,0.83
1998-08-25,1601.0,1704.0,1601.0,1699.0,1699.0,2100.0,34.74
1998-08-27,1749.0,1749.0,1700.0,1700.0,1724.5,100.0,1.72
1998-09-01,1615.0,1615.0,1615.0,1615.0,1615.0,50.0,0.81
1998-09-02,1724.0,1724.0,1587.0,1640.0,1640.0,450.0,7.44
1998-09-04,1650.0,1650.0,1650.0,1650.0,1650.0,50.0,0.82
1998-09-07,1680.0,1695.0,1680.0,1695.0,1695.0,100.0,1.69
1998-09-08,1699.0,1699.0,1611.0,1611.0,1611.0,1000.0,16.55
1998-09-09,1670.0,1714.0,1670.0,1700.0,1707.0,200.0,3.38
1998-09-11,1680.0,1680.0,1675.0,1675.0,1677.5,100.0,1.68
1998-09-14,1700.0,1700.0,1700.0,1700.0,1700.0,100.0,1.7
1998-09-15,1642.0,1689.1,1642.0,1689.0,1689.05,150.0,2.51
1998-09-16,1695.0,1695.0,1625.0,1625.0,1625.0,400.0,6.71
1998-09-18,1661.0,1661.0,1615.0,1655.0,1655.0,500.0,8.24
1998-09-21,1660.0,1660.0,1660.0,1660.0,1660.0,50.0,0.83
1998-09-22,1553.0,1670.0,1553.0,1601.0,1609.35,1250.0,20.18
1998-09-23,1650.0,1650.0,1650.0,1650.0,1650.0,100.0,1.65
1998-09-24,1655.0,1660.0,1650.0,1650.0,1650.0,150.0,2.48
1998-09-25,1625.0,1649.0,1625.0,1625.0,1625.0,700.0,11.39
1998-09-28,1602.0,1650.0,1602.0,1650.0,1650.0,150.0,2.43
1998-09-29,1635.0,1635.0,1615.0,1615.0,1617.5,200.0,3.25
1998-09-30,1628.0,1630.0,1625.0,1630.0,1630.0,150.0,2.44
1998-10-05,1550.0,1550.0,1550.0,1550.0,1550.0,100.0,1.55
1998-10-06,1525.0,1575.0,1512.0,1512.0,1513.5,400.0,6.18
1998-10-07,1575.0,1599.0,1575.0,1599.0,1599.0,100.0,1.59
1998-10-08,1590.0,1590.0,1572.0,1572.0,1572.0,250.0,3.95
1998-10-09,1540.0,1540.0,1450.0,1520.0,1506.7,1450.0,21.36
1998-10-12,1460.0,1490.0,1446.0,1446.0,1446.0,550.0,8.1
1998-10-13,1440.0,1440.0,1395.0,1396.0,1396.0,400.0,5.67
1998-10-14,1405.0,1414.0,1395.0,1414.0,1414.0,300.0,4.21
1998-10-15,1350.0,1380.0,1350.0,1380.0,1380.0,100.0,1.36
1998-10-16,1361.0,1385.0,1350.0,1361.0,1365.0,600.0,8.17
1998-10-19,1350.0,1360.0,1350.0,1360.0,1360.0,150.0,2.03
1998-10-20,1325.0,1325.0,1323.0,1323.0,1324.0,250.0,3.31
1998-10-22,1355.0,1370.0,1355.0,1365.0,1364.7,1350.0,18.41
1998-10-23,1365.0,1365.0,1350.0,1355.05,1355.1,1900.0,25.82
