Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-11-05,150.25,269.0,150.25,257.9,238.1,7154.0,15.84
2008-11-06,210.0,239.85,210.0,215.05,219.3,44.0,0.1
2008-11-07,229.0,261.7,180.05,220.2,241.0,250.0,0.63
2008-11-10,275.0,286.0,210.5,226.25,238.4,501.0,1.27
2008-11-11,267.0,280.0,225.55,279.9,258.6,90.0,0.23
2008-11-12,220.0,279.0,220.0,279.0,278.4,73.0,0.19
2008-11-17,269.0,269.9,226.2,226.2,226.2,26.0,0.06
2008-11-18,190.4,200.1,183.25,183.25,183.25,73.0,0.14
2008-11-19,162.2,169.0,160.0,160.0,162.4,32.0,0.05
2008-11-20,130.1,184.0,130.1,144.0,147.6,46.0,0.07
2008-11-21,154.0,160.0,154.0,160.0,157.55,36.0,0.06
2008-11-26,160.0,164.0,142.0,164.0,164.0,46.0,0.07
2008-11-28,150.0,150.0,150.0,150.0,150.0,1.0,0.0
2008-12-01,164.0,164.0,164.0,164.0,164.0,4.0,0.01
2008-12-02,164.0,164.0,164.0,164.0,164.0,1.0,0.0
2008-12-04,180.0,180.0,148.0,148.0,148.0,11.0,0.02
2008-12-12,141.0,162.75,141.0,162.75,162.75,4.0,0.01
2008-12-16,170.0,170.0,147.5,147.5,147.5,20.0,0.03
2008-12-17,133.1,140.5,133.1,140.5,140.5,16.0,0.02
2008-12-18,140.5,140.5,140.5,140.5,140.5,1.0,0.0
2008-12-22,130.0,154.55,130.0,154.55,154.55,8.0,0.01
2008-12-26,148.05,148.05,148.05,148.05,148.05,3.0,0.0
2008-12-31,134.35,134.35,134.35,134.35,134.35,2.0,0.0
2009-01-06,133.85,133.85,133.85,133.85,133.85,1.0,0.0
2009-01-12,122.95,122.95,122.95,122.95,122.95,3.0,0.0
2009-01-14,135.25,135.25,135.25,135.25,135.25,1.0,0.0
2009-01-15,124.05,124.05,124.05,124.05,124.05,1.0,0.0
2009-01-16,113.35,113.35,113.35,113.35,113.35,5.0,0.01
2009-01-19,108.0,124.7,108.0,124.7,124.7,24.0,0.03
2009-01-20,137.2,137.2,137.2,137.2,137.2,1.0,0.0
2009-01-21,150.95,150.95,150.95,150.95,150.95,1.0,0.0
2009-01-22,166.0,166.0,166.0,166.0,166.0,45.0,0.07
2009-01-23,159.0,174.3,158.0,174.3,174.3,24.0,0.04
2009-01-27,166.0,183.0,165.6,182.0,182.0,65.0,0.11
2009-02-03,191.1,191.1,172.9,172.9,172.9,11.0,0.02
2009-02-19,172.9,172.9,172.9,172.9,172.9,5.0,0.01
2009-02-24,165.0,165.0,165.0,165.0,165.0,9.0,0.01
2009-02-25,158.0,158.0,158.0,158.0,158.0,3.0,0.0
2009-02-27,158.0,158.0,158.0,158.0,158.0,2.0,0.0
2009-03-02,158.0,158.0,158.0,158.0,158.0,16.0,0.03
2009-03-16,165.9,165.9,165.9,165.9,165.9,4.0,0.01
2009-03-18,165.9,170.0,165.9,170.0,170.0,23.0,0.04
2009-03-19,162.0,162.0,162.0,162.0,162.0,4.0,0.01
2009-03-20,170.0,170.0,170.0,170.0,170.0,3.0,0.01
2009-03-23,175.0,175.0,175.0,175.0,175.0,5.0,0.01
2009-03-24,175.25,175.25,175.25,175.25,175.25,10.0,0.02
2009-03-25,167.0,167.0,167.0,167.0,167.0,1.0,0.0
2009-03-26,167.0,167.0,167.0,167.0,167.0,2.0,0.0
2009-03-27,167.0,167.0,167.0,167.0,167.0,2.0,0.0
2009-04-09,175.35,175.35,175.35,175.35,175.35,19.0,0.03
2009-04-13,184.15,184.15,184.15,184.15,184.15,100.0,0.18
2009-04-15,193.4,193.4,193.4,193.4,193.4,13.0,0.03
2009-04-16,203.1,203.1,203.1,203.1,203.1,17.0,0.03
2009-04-20,213.3,213.3,213.3,213.3,213.3,4.0,0.01
2009-04-22,224.0,224.0,215.0,215.0,215.0,417.0,0.91
2009-04-27,206.55,206.55,206.55,206.55,206.55,4.0,0.01
2009-04-28,200.1,202.75,200.1,202.75,202.75,12.0,0.02
